date, pm25, pm10, o3, no2, so2, co
2023/12/1, 240, 137, 35, 14, 4, 9
2023/12/2, 202, 179, 2, 14, 2, 13
2023/12/3, 282, , , , , 
2023/11/1, 217, 339, 41, 22, 6, 13
2023/11/2, 311, 356, 42, 25, 3, 12
2023/11/3, 298, 371, 43, 27, 4, 13
2023/11/4, 286, 370, 34, 25, 4, 13
2023/11/5, 299, 277, 55, 20, 3, 11
2023/11/6, 240, 159, 82, 22, 5, 12
2023/11/7, 205, 244, 50, 27, 6, 13
2023/11/8, 250, 368, 25, 27, 4, 13
2023/11/9, 411, 137, 13, 14, 2, 7
2023/11/10, 201, 80, 27, 11, 2, 7
2023/11/11, 144, 98, 36, 10, 3, 7
2023/11/12, 168, 205, 43, 15, 10, 10
2023/11/13, 326, 158, 40, 19, 5, 9
2023/11/14, 263, 224, 44, 20, 4, 10
2023/11/15, 339, 291, 48, 25, 4, 12
2023/11/16, 368, 204, 41, 21, 3, 13
2023/11/17, 271, 174, 39, 21, 3, 11
2023/11/18, 251, 173, 60, 21, 3, 12
2023/11/19, 261, 186, 53, 21, 2, 10
2023/11/20, 263, 196, 1, 18, 5, 9
2023/11/21, 320, 219, 8, 20, 4, 10
2023/11/22, 327, 245, 59, 27, 3, 13
2023/11/23, 350, 276, 73, 20, 3, 12
2023/11/24, 378, 307, 51, 22, 4, 12
2023/11/25, 342, 204, 61, 17, 4, 11
2023/11/26, 316, 178, 21, 14, 2, 11
2023/11/27, 298, 101, 17, 9, 1, 8
2023/11/28, 198, 134, 37, 12, 2, 10
2023/11/29, 223, 160, 40, 10, 2, 10
2023/11/30, 286, 135, 39, 10, 3, 9
2023/10/1, 132, 105, 39, 11, 3, 10
2023/10/2, 132, 118, 40, 11, 3, 10
2023/10/3, 137, 125, 43, 11, 3, 10
2023/10/4, 141, 132, 46, 14, 3, 11
2023/10/5, 153, 116, 44, 15, 5, 11
2023/10/6, 161, 148, 20, 14, 3, 13
2023/10/7, 165, 118, 19, 11, 3, 11
2023/10/8, 138, 133, 19, 10, 3, 12
2023/10/9, 146, 147, 18, , , 11
2023/10/10, 144, 114, 25, 11, 2, 11
2023/10/11, 143, 148, 34, 13, 3, 12
2023/10/12, 186, 228, 40, 18, 4, 13
2023/10/13, 211, 149, 29, 15, 3, 12
2023/10/14, 169, 124, 22, 12, 2, 12
2023/10/15, 137, 102, 20, 9, 2, 10
2023/10/16, 118, 45, 22, 9, 2, 10
2023/10/17, 70, 75, 27, 16, 2, 9
2023/10/18, 106, 77, 34, 12, 3, 10
2023/10/19, 113, 113, 41, 15, 4, 11
2023/10/20, 157, 119, 54, 13, 4, 12
2023/10/21, 173, 153, 50, 17, 5, 13
2023/10/22, 197, 141, 32, 19, 3, 13
2023/10/23, 176, 113, 36, 14, 4, 11
2023/10/24, 154, 138, 39, 18, 4, 12
2023/10/25, 178, 130, 43, 16, 4, 11
2023/10/26, 162, 170, 47, 24, 5, 13
2023/10/27, 186, 221, 55, 24, 5, 16
2023/10/28, 220, 186, 88, 21, 4, 17
