date, pm25, pm10, o3, no2, so2, co
2021/10/1, 107, 76, 206, 3, 11, 
2021/10/2, 107, 76, 247, 3, 12, 
2021/10/3, 107, 76, 474, , 14, 
2021/10/30, 107, 75, 141, , 28, 1
2021/10/31, 107, 75, 152, 15, 30, 1
2021/11/1, 107, 75, 164, 9, 31, 1
2021/11/2, 107, 75, 159, 9, 32, 1
2021/11/3, 107, 75, 150, 4, 33, 1
2021/11/4, 107, 75, 420, 5, 34, 1
2021/11/5, 107, 75, 280, , 35, 
2021/11/6, 107, 75, 294, , 34, 
2021/11/7, 107, 75, 300, , 35, 
2021/11/8, 107, 75, 298, , 34, 
2021/11/9, 107, 75, 262, , 33, 
2021/11/10, 107, 75, 249, , 33, 
2021/11/11, 107, 75, 420, , 33, 
2021/11/12, 116, 75, 453, , 34, 
2021/11/13, 120, 75, 451, , 36, 
2021/11/14, 107, 75, 413, 5, 35, 500
2021/11/15, 107, 80, 165, 15, 22, 290
2021/11/16, 210, 75, 379, 15, 16, 2
2021/11/17, 111, 75, 500, 4, 23, 2
2021/11/18, 107, 75, 427, , 27, 2
2021/11/19, 107, 75, , , 26, 
2021/11/20, 107, 75, , , 28, 
2021/11/21, 107, 75, , , 28, 
2021/11/22, 107, 75, , , 25, 
2021/11/23, 107, 75, , , 16, 
2021/11/24, 107, 75, , , 16, 
2021/11/25, 107, 75, , , 22, 
2021/11/26, 107, 75, , , 20, 
2021/11/27, 107, 75, , , 21, 
2021/11/28, 107, 75, , , 19, 
2021/11/29, 107, 75, , , 18, 
2021/11/30, 107, 75, , , 19, 
2021/12/1, 107, 75, , , 18, 
2021/12/2, 107, 75, , , 19, 
2021/12/3, 107, 75, , , 18, 
2021/12/4, 107, 75, , , 13, 
2021/12/5, 107, 75, , , 12, 
2021/12/6, 107, 75, , , 12, 
2021/12/7, 107, 75, , , 11, 
2021/12/8, 107, 75, , , 11, 
2021/12/9, 107, 75, , , 11, 
2021/12/10, 107, 75, , , 11, 
2021/12/11, 107, 75, , , 11, 
2021/12/12, 107, 75, , , 11, 
2021/12/13, 107, 75, , , 11, 
2021/12/14, 107, 75, , , 11, 
2021/12/15, 107, 75, , , 11, 
2021/12/16, 107, 75, , , 11, 
2021/12/17, 107, 75, , , 12, 
2021/12/18, 107, 75, , , 11, 
2021/12/19, 107, 75, , , 12, 
2021/12/20, 107, 75, , , 12, 
2021/12/21, 107, 75, , , 12, 
2021/12/22, 107, 75, , , 12, 
2021/12/23, 107, , , , 11, 
2021/7/1, 131, 75, 331, 3, 17, 
2021/7/2, 126, 75, 286, 3, 17, 
2021/7/3, 125, 75, 294, 3, 17, 
2021/7/4, 122, 75, 267, 3, 17, 
2021/7/5, 129, 75, 57, 3, 17, 
2021/7/6, 131, 75, 60, 3, 17, 
2021/7/7, 129, 79, 79, 3, 37, 
2021/7/8, 134, 74, 74, 3, 41, 
2021/7/9, 108, 75, 78, 3, 11, 
2021/7/10, 107, 75, 98, 3, 5, 
2021/7/11, 107, 75, 97, 3, 1, 
2021/7/12, 107, 75, 32, 3, , 
2021/7/13, 107, 75, 32, 3, , 
2021/7/14, 107, 75, 39, 3, , 
2021/7/15, 107, 81, 234, 3, 29, 
2021/7/16, 134, 74, 237, 3, 26, 
2021/7/17, 106, 73, 16, 3, 17, 
2021/7/18, 107, 75, 16, 3, 17, 
2021/7/19, 107, 75, 14, 3, 17, 
2021/7/20, 107, 75, 11, 3, 17, 
2021/7/21, 107, 75, 11, 3, 16, 
2021/7/22, 107, 75, 12, 3, 16, 
2021/7/23, 107, 75, 11, 3, 16, 
2021/7/24, 107, 75, 11, 3, 16, 
2021/7/25, 107, 75, 95, 3, 26, 
2021/7/26, 107, 75, 109, 3, 27, 
2021/7/27, 107, 75, 101, 3, 27, 
