date, pm25, pm10, o3, no2, so2, co
2023/12/1, 149, 91, 22, 19, , 3
2023/12/2, 156, 79, 5, 13, , 2
2023/12/3, 141, , , , , 
2023/11/1, 155, 80, 35, , , 2
2023/11/2, 158, 87, 33, , , 2
2023/11/3, 163, 84, 34, , , 3
2023/11/4, 159, 85, 48, , , 3
2023/11/5, 155, 89, 58, , , 4
2023/11/6, 154, 91, 35, , , 4
2023/11/7, 150, 102, 25, , , 2
2023/11/8, 150, 80, 38, , , 2
2023/11/9, 127, 61, , , , 2
2023/11/10, 112, 59, , , , 
2023/11/11, 116, , , , , 
2023/11/19, 158, , , 9, , 1
2023/11/20, 146, , , , , 
2023/11/22, 168, 109, , 32, , 2
2023/11/23, 159, 105, 2, 27, , 
2023/11/24, 162, 93, 2, 35, , 
2023/11/25, 148, 70, 2, 32, , 
2023/11/26, 121, 57, 2, 38, , 
2023/11/27, 98, 58, 13, 39, , 5
2023/11/28, 93, 66, 17, 44, , 4
2023/11/29, 120, 77, 44, 54, , 4
2023/11/30, 137, 83, 57, 52, , 4
2023/10/1, 103, 91, 26, , , 9
2023/10/2, 108, 84, 28, , , 5
2023/10/3, 90, , , , , 
2023/10/6, 100, 80, 27, , , 9
2023/10/7, 104, 83, 31, , , 9
2023/10/8, 109, 103, 37, 1, , 9
2023/10/9, 142, 80, 23, , , 8
2023/10/10, 131, 66, 19, , , 6
2023/10/11, 81, 82, 33, , , 5
2023/10/12, 116, 119, 43, 1, , 7
2023/10/13, 159, 97, 38, 1, , 5
2023/10/14, 146, 107, 32, 1, , 5
2023/10/15, 152, 119, 28, 2, , 5
2023/10/16, 160, 112, 44, 6, , 4
2023/10/17, 152, 115, 32, , , 4
2023/10/18, 157, 104, 36, , , 3
2023/10/19, 146, 109, 43, , , 4
2023/10/20, 153, 89, 42, , , 4
2023/10/21, 154, 95, 38, , , 4
2023/10/22, 141, 92, 33, , , 4
2023/10/23, 87, 86, 37, , , 3
2023/10/24, 77, 83, 44, , , 2
2023/10/25, 69, 84, 42, , , 2
2023/10/26, 66, 83, 36, , , 1
2023/10/27, 56, 86, 39, , , 2
2023/10/28, 67, 83, 40, , , 2
2023/10/29, 55, 86, 51, , , 2
2023/10/30, 54, 100, 45, , , 2
2023/10/31, 93, 83, 39, , , 1
2023/7/1, 62, , 7, , , 
2023/7/2, 64, 21, 12, , , 22
2023/7/3, 61, 23, 11, , , 22
2023/7/4, 51, 29, 11, , , 18
2023/7/5, 45, 19, 11, , , 13
2023/7/6, 41, 23, 11, , , 15
2023/7/7, 41, 40, 12, , , 13
2023/7/8, 72, 42, 9, , , 14
2023/7/9, 71, 35, 11, 2, , 16
2023/7/10, 66, 43, 9, 4, , 19
2023/7/11, 74, 45, 8, 33, , 20
2023/7/12, 74, 42, 10, 21, , 21
2023/7/13, 74, 29, 6, 20, , 21
2023/7/14, 58, 38, 8, 24, , 22
2023/7/15, 69, 31, 8, 15, , 22
2023/7/16, 67, 22, 8, 13, , 23
2023/7/17, 51, 22, 4, 13, , 23
2023/7/18, 57, 31, 4, 12, , 21
2023/7/19, 60, 40, 5, 9, , 23
2023/7/20, 66, 31, 3, 26, , 24
2023/7/21, 64, 28, 3, 94, , 24
2023/7/22, 67, 25, 3, 66, , 17
2023/7/23, 59, 26, 3, 37, , 23
2023/7/24, 57, 33, 3, 12, , 22
2023/7/25, 62, 21, 3, 8, , 21
2023/7/26, 58, 21, 2, 7, , 20
2023/7/27, 50, 29, 3, 7, , 20
2023/7/28, 58, 29, 2, 8, , 19
2023/7/29, 62, 35, 8, 11, , 16
2023/7/30, 66, 34, 6, 23, , 15
2023/7/31, 63, 31, 8, 14, , 14
2023/8/1, 64, 40, 5, 12, , 17
2023/8/2, 75, 40, 5, 12, , 18
2023/8/3, 72, 37, 5, 13, , 18
2023/8/4, 71, , 7, 11, , 18
2023/8/5, 74, , 10, 11, , 19
2023/8/6, 79, , 9, 11, , 19
2023/8/7, 74, 31, 10, 28, , 16
2023/8/8, 68, 39, 10, 69, , 1
2023/8/9, 78, 33, 11, 11, , 
2023/8/10, 73, 33, 10, 9, , 
2023/8/11, 67, 32, 13, 7, , 
2023/8/12, 56, , , , , 
2023/8/14, 70, 41, 8, , , 
2023/8/15, 71, 35, 11, , , 
2023/8/16, 67, 31, 9, , , 
2023/8/17, 68, 25, 10, 6, , 2
2023/8/18, 56, 34, 8, 9, , 3
2023/8/19, 66, 28, 10, 9, , 5
2023/8/20, 63, 29, 12, 10, , 5
2023/8/21, 58, 29, 7, 10, , 6
2023/8/22, 54, 26, 6, 10, , 9
2023/8/23, 57, 26, 6, 10, , 10
2023/8/24, 60, 24, 6, 9, , 11
2023/8/25, 56, 23, 7, 9, , 12
2023/8/26, 55, 28, 6, 9, , 12
2023/8/27, 64, , 7, 9, , 13
2023/8/28, 58, 56, 12, 42, , 12
2023/8/29, 65, 42, 15, 99, , 11
2023/8/30, 67, 44, 17, 89, , 12
2023/8/31, 68, 47, 19, 75, , 12
2023/9/1, 84, 40, 9, 69, , 12
2023/9/2, 69, 41, 6, 64, , 13
2023/9/3, 73, 50, 11, 50, , 7
2023/9/4, 81, 46, 14, 40, , 3
2023/9/5, 80, 47, 11, 31, , 4
2023/9/6, 83, 39, 8, 32, , 5
2023/9/7, 72, 41, 2, 30, , 6
2023/9/8, 62, 44, 4, 31, , 7
2023/9/9, 66, 30, 11, 20, , 6
2023/9/10, 53, 33, 12, 14, , 5
2023/9/11, 64, 36, 13, 10, , 5
2023/9/12, 56, 37, 13, 10, , 4
2023/9/13, 60, 32, 7, , , 3
2023/9/14, 56, 36, 10, , , 5
2023/9/15, 63, 40, 6, , , 3
2023/9/16, 60, 12, 7, , , 2
2023/9/17, 60, 8, 9, , , 2
2023/9/18, 58, , 9, , , 1
2023/9/19, 61, 333, 7, , , 3
2023/9/20, 53, 75, 14, , , 5
2023/9/21, 67, 41, 2, , , 5
2023/9/22, 66, 41, 2, , , 6
2023/9/23, 76, 37, 5, , , 5
2023/9/24, 42, 46, 13, , , 6
2023/9/25, 47, 48, 12, , , 5
2023/9/26, 65, 39, 21, , , 5
2023/9/27, 59, 60, 23, , , 8
2023/9/28, 94, 60, 28, , , 7
2023/9/29, 104, 56, 33, , , 7
2023/9/30, 88, 81, 33, , , 9
2023/4/3, 108, 75, 25, 12, , 8
2023/4/4, 98, 66, 23, 11, , 8
2023/4/5, 94, 93, 40, 12, , 8
2023/4/6, 130, 116, 42, 15, , 9
2023/4/7, 149, 112, 59, 17, , 10
2023/4/8, 141, 100, 43, 13, , 9
2023/4/9, 38, 106, 45, 12, , 8
2023/4/10, 43, 88, 35, 13, , 7
2023/4/11, 81, 86, 33, 14, , 6
2023/4/12, 128, 151, 35, 21, , 7
2023/4/13, 118, 186, 31, 17, , 6
2023/4/14, 122, 116, 19, 12, , 6
2023/4/15, 85, 75, 18, 11, , 6
2023/4/16, 106, 71, 21, 11, , 4
2023/4/17, 86, 87, 35, 14, , 6
2023/4/18, 107, 91, 35, 18, , 10
2023/4/19, 140, 78, 25, 12, , 9
2023/4/20, 95, 58, 16, 9, , 8
2023/4/21, 71, 52, 13, 8, , 7
2023/4/22, 63, 148, 14, 7, , 9
2023/4/23, 66, 55, 18, 7, , 8
2023/4/24, 70, 65, 28, 9, , 9
2023/4/25, 86, 70, 19, 9, , 10
2023/4/26, 89, 57, 21, 7, , 10
2023/4/27, 79, 52, 15, 7, , 9
2023/4/28, 67, 52, 15, 9, , 9
2023/4/29, 76, 42, 12, 8, , 9
2023/4/30, 63, 40, 20, 7, , 9
2023/5/1, 60, 39, 16, 8, , 11
2023/5/2, 65, 45, 17, 7, , 10
2023/5/3, 71, 47, 18, 7, , 11
2023/5/4, 73, 52, 15, 7, , 10
2023/5/5, 74, 49, 13, 7, , 10
2023/5/6, 67, 53, 12, 7, , 10
2023/5/7, 73, 50, 14, 5, , 11
2023/5/8, 74, 57, 16, 6, , 9
2023/5/9, 72, 74, 21, 7, , 11
2023/5/10, 84, 76, 30, 8, , 12
2023/5/11, 92, 76, 24, 9, , 11
2023/5/12, 93, 59, 20, 8, , 10
2023/5/13, 72, 42, 16, 6, , 11
2023/5/14, 59, 52, 13, 6, , 10
2023/5/15, 71, 52, 13, 7, , 9
2023/5/16, 70, 40, 13, 5, , 11
2023/5/17, 66, 47, 16, 5, , 11
2023/5/18, 69, 41, 17, 4, , 10
2023/5/19, 62, , , , , 
2023/5/23, 64, 47, 13, 5, , 12
2023/5/24, 60, 47, 14, 5, , 11
2023/5/25, 57, 46, 12, 5, , 12
2023/5/26, 68, 45, 12, 5, , 12
2023/5/27, 75, 37, 12, 5, , 11
2023/5/28, 65, 41, 16, , , 10
2023/5/29, 62, 48, 24, 6, , 11
2023/5/30, 62, 56, 23, 6, , 12
2023/5/31, 71, 53, 21, 6, , 13
2023/6/1, 66, 47, 10, 5, , 12
2023/6/2, 60, 32, 13, 6, , 12
2023/6/3, 54, 40, 11, 5, , 13
2023/6/4, 63, 50, 13, 6, , 13
2023/6/5, 61, 58, 14, 5, , 12
2023/6/6, 71, 56, 10, 5, , 13
2023/6/7, 76, 52, 17, 5, , 20
2023/6/8, 73, 40, 18, 5, , 21
2023/6/9, 65, 55, 20, 5, , 21
2023/6/10, 83, 61, 17, 5, , 21
2023/6/11, 87, 52, 12, 5, , 18
2023/6/12, 70, 50, 10, 5, , 22
2023/6/13, 70, 51, 9, 3, , 22
2023/6/14, 68, 50, 9, 4, , 21
2023/6/15, 72, 54, 10, 3, , 21
2023/6/16, 75, 49, 10, 3, , 21
2023/6/17, 67, 55, 11, 3, , 21
2023/6/18, 80, 56, 10, 4, , 21
2023/6/19, 68, 57, 11, 5, , 20
2023/6/20, 79, 52, 11, 4, , 21
2023/6/21, 83, , 9, 4, , 21
2023/6/22, 76, , 9, 3, , 21
2023/6/23, 82, , 11, , , 21
2023/6/24, 63, , 13, , , 
2023/6/25, 59, , 6, , , 
2023/6/26, 68, 194, 5, , , 11
2023/6/27, 111, 47, 6, , , 12
2023/6/28, 59, 28, 10, , , 12
2023/6/29, 59, 20, 10, , , 
2023/6/30, 62, , 8, , , 6
2023/1/26, 193, 150, 33, 30, , 10
2023/1/27, 186, 117, 30, 30, , 6
2023/1/28, 167, 117, 31, 27, , 5
2023/1/29, 168, 112, 33, 28, , 4
2023/1/30, 165, 140, 33, 34, , 6
2023/1/31, 176, 133, 28, 32, , 5
2023/2/1, 174, 103, 30, 31, , 6
2023/2/2, 162, 106, 33, 33, , 7
2023/2/3, 162, 105, 33, 34, , 6
2023/2/4, 162, 105, 33, 35, , 6
2023/2/5, 162, 104, 40, 33, , 7
2023/2/6, 168, 109, 28, 31, , 4
2023/2/7, 161, 130, 34, 42, , 7
2023/2/8, 170, 117, 41, 45, , 6
2023/2/9, 164, 108, 33, 40, , 4
2023/2/10, 156, 97, 26, 35, , 3
2023/2/11, 145, 136, 29, 30, , 3
2023/2/12, 157, 107, 26, 51, , 3
2023/2/13, 143, 106, 30, 36, , 4
2023/2/14, 153, 123, 32, 40, , 5
2023/2/15, 153, 84, 26, 32, , 1
2023/2/16, 133, 110, 30, 38, , 4
2023/2/17, 152, 104, 32, , , 3
2023/2/18, 151, 122, 43, , , 4
2023/2/19, 165, 110, 55, , , 3
2023/2/20, 157, 101, 30, 42, , 3
2023/2/21, 154, 90, 31, 36, , 6
2023/2/22, 137, 106, 39, 37, , 7
2023/2/23, 158, 147, 42, 43, , 10
2023/2/24, 180, 135, 40, 38, , 7
2023/2/25, 174, 132, 41, 39, , 7
2023/2/26, 179, 127, 35, 40, , 7
2023/2/27, 173, 101, 34, 33, , 3
2023/2/28, 155, 95, 30, 30, , 2
2023/3/1, 155, 133, 42, 40, , 6
2023/3/2, 175, 131, 49, 38, , 5
2023/3/3, 176, 133, 43, 37, , 4
2023/3/4, 180, 136, 41, 32, , 3
2023/3/5, 181, 120, 23, 24, , 2
2023/3/6, 170, 72, , 24, , 
2023/3/7, 151, 101, , 34, , 4
2023/3/8, 161, 93, , 34, , 4
2023/3/9, 160, 98, , 31, , 5
2023/3/10, 145, 97, , 30, , 3
2023/3/11, 161, 92, , 32, , 3
2023/3/12, 163, 71, , 31, , 5
2023/3/13, 165, 64, , 28, , 
2023/3/14, 157, 89, 43, 33, , 
2023/3/15, 158, 83, 35, 32, , 
2023/3/16, 154, 84, 32, 29, , 
2023/3/17, 140, 84, 30, 24, , 
2023/3/18, 145, 84, 17, 21, , 
2023/3/19, 114, 84, 16, 20, , 
2023/3/20, 99, 84, 18, 23, , 4
2023/3/21, 89, , 17, 23, , 6
2023/3/22, 85, , 14, 20, , 6
2023/3/23, 75, , 11, 18, , 6
2023/3/24, 82, , 26, 16, , 7
2023/3/25, 90, , 24, 15, , 7
2023/3/26, 108, 78, 23, 16, , 8
2023/3/27, 123, 87, 31, 15, , 8
2023/3/28, 138, 90, 24, 14, , 6
2023/3/29, 127, 68, 18, 13, , 6
2023/3/30, 111, 57, 14, 12, , 7
2023/3/31, 94, , , , , 
2022/7/1, 65, 39, 3, , , 3
2022/4/1, 124, 111, 11, 3, , 3
2022/4/2, 109, 108, 14, 4, , 3
2022/4/3, 45, 83, 16, 4, , 2
2022/4/4, 35, 67, 7, 1, , 2
2022/4/5, 38, 65, 9, 4, , 2
2022/4/6, 39, 183, 14, 5, , 1
2022/4/7, 35, , , , , 
2022/4/16, 36, 49, 7, 1, , 2
2022/4/17, 44, 47, 5, 5, , 2
2022/4/18, 43, 47, 6, 1, , 2
2022/4/19, 45, 49, 4, 1, , 2
2022/4/20, 28, 62, 26, 6, , 3
2022/4/21, 86, 62, 24, 5, , 2
2022/4/22, 90, 64, 8, 1, , 2
2022/4/23, 85, 48, 7, 4, , 2
2022/4/24, 100, 44, 10, 1, , 1
2022/4/25, 63, 36, 4, 1, , 1
2022/4/26, 43, 36, 9, 1, , 2
2022/4/27, 34, 34, 4, 1, , 1
2022/4/28, 55, 35, 6, 1, , 1
2022/4/29, 40, 31, 11, 1, , 1
2022/4/30, 37, 28, 8, 1, , 
2022/5/1, 27, 33, 6, 4, , 
2022/5/2, 32, 23, 2, 3, , 
2022/5/3, 50, 74, 17, 8, , 2
2022/5/4, 68, 71, 18, 7, , 1
2022/5/5, 72, 94, 14, 6, , 
2022/5/6, 100, 101, 20, 5, , 2
2022/5/7, 121, 91, 11, , , 
2022/5/8, 135, 86, 13, 1, , 4
2022/5/9, 111, 87, 14, , , 3
2022/5/10, 97, 79, 7, 4, , 3
2022/5/11, 123, 84, 14, 1, , 3
2022/5/12, 117, 94, 7, , , 3
2022/5/13, 142, 105, 15, 1, , 3
2022/5/14, 121, 83, 15, 8, , 3
2022/5/18, 194, 92, 15, , , 5
2022/5/19, 175, 82, 7, , , 4
2022/5/20, 162, 64, 5, , , 4
2022/5/21, 133, 68, 9, , , 2
2022/5/22, 86, 45, 9, , , 2
2022/5/23, 80, 47, 4, , , 2
2022/5/24, 84, 41, 11, , , 1
2022/5/25, 71, 46, 6, , , 1
2022/5/26, 75, 39, 4, , , 2
2022/5/27, 62, 36, 5, , , 1
2022/5/28, 52, 32, 5, , , 2
2022/5/29, 62, 38, 5, , , 1
2022/5/30, 66, 39, 5, , , 1
2022/5/31, 69, 45, 11, , , 1
2022/6/1, 72, 139, 10, , , 
2022/6/2, 89, 64, 9, , , 
2022/6/3, 82, 37, 6, , , 8
2022/6/4, 59, 53, 6, , , 10
2022/6/5, 68, 58, 14, , , 9
2022/6/6, 69, 54, 12, , , 10
2022/6/7, 87, 30, 10, , , 8
2022/6/8, 60, 27, 6, , , 11
2022/6/9, 54, 49, 8, , , 16
2022/6/10, 63, 33, 6, , , 14
2022/6/11, 53, 33, 4, , , 14
2022/6/12, 49, 36, 9, , , 10
2022/6/13, 50, 49, 4, , , 1
2022/6/14, 56, 39, 4, , , 1
2022/6/15, 55, 41, 3, , , 1
2022/6/16, 55, 30, 7, , , 1
2022/6/17, 54, 39, 3, , , 
2022/6/18, 56, 32, 2, , , 
2022/6/19, 51, 28, 2, , , 1
2022/6/20, 53, 25, 7, , , 1
2022/6/21, 49, 35, 10, , , 2
2022/6/22, 58, 29, 12, , , 2
2022/6/23, 59, 23, 5, , , 2
2022/6/24, 46, 21, 8, , , 1
2022/6/25, 44, 18, 7, , , 
2022/6/26, 43, 41, 10, , , 3
2022/6/27, 57, 33, 3, , , 4
2022/6/28, 54, 39, 6, , , 5
2022/6/29, 60, 36, 3, , , 4
2022/6/30, 61, 19, 3, , , 4
2022/1/3, 147, 119, 3, 10, , 10
2022/1/4, 185, , , , , 
2022/1/6, 72, 102, 3, 22, , 2
2022/1/7, 152, 85, 5, 6, , 1
2022/1/8, 135, 58, 3, 6, , 
