date, pm25, pm10
2023/12/1, 57, 16
2023/12/2, 61, 11
2023/12/3, 49, 
2023/11/1, 49, 12
2023/11/2, 50, 14
2023/11/3, 55, 12
2023/11/4, 53, 10
2023/11/5, 43, 14
2023/11/6, 56, 14
2023/11/7, 57, 15
2023/11/8, 59, 15
2023/11/9, 58, 14
2023/11/10, 56, 16
2023/11/11, 61, 14
2023/11/12, 56, 16
2023/11/13, 61, 14
2023/11/14, 57, 12
2023/11/15, 52, 10
2023/11/16, 45, 14
2023/11/17, 54, 11
2023/11/18, 47, 11
2023/11/19, 46, 10
2023/11/20, 44, 11
2023/11/21, 49, 15
2023/11/22, 58, 15
2023/11/23, 59, 14
2023/11/24, 58, 14
2023/11/25, 57, 14
2023/11/26, 57, 14
2023/11/27, 55, 11
2023/11/28, 48, 11
2023/11/29, 49, 15
2023/11/30, 59, 14
2023/10/1, 24, 6
2023/10/2, 27, 4
2023/10/3, 17, 3
2023/10/4, 13, 3
2023/10/5, 15, 3
2023/10/6, 14, 5
2023/10/7, 21, 12
2023/10/8, 45, 21
2023/10/9, 74, 20
2023/10/10, 71, 16
2023/10/11, 61, 13
2023/10/12, 52, 15
2023/10/13, 59, 14
2023/10/14, 57, 15
2023/10/15, 59, 16
2023/10/16, 62, 11
2023/10/17, 49, 8
2023/10/18, 36, 7
2023/10/19, 32, 11
2023/10/20, 47, 10
2023/10/21, 44, 12
2023/10/22, 51, 11
2023/10/23, 47, 9
2023/10/24, 41, 10
2023/10/25, 43, 10
2023/10/26, 44, 10
2023/10/27, 43, 12
2023/10/28, 49, 12
2023/10/29, 49, 11
2023/10/30, 47, 11
2023/10/31, 46, 11
2023/7/21, 30, 4
2023/7/22, 19, 4
2023/7/23, 16, 3
2023/7/24, 12, 2
2023/7/25, 10, 4
2023/7/26, 17, 5
2023/7/27, 21, 4
2023/7/28, 17, 3
2023/7/29, 13, 2
2023/7/30, 11, 3
2023/7/31, 12, 3
2023/8/1, 14, 5
2023/8/2, 21, 3
2023/8/3, 12, 3
2023/8/4, 13, 5
2023/8/5, 21, 6
2023/8/6, 27, 2
2023/8/7, 10, 2
2023/8/8, 9, 4
2023/8/9, 18, 4
2023/8/10, 19, 6
2023/8/11, 26, 2
2023/8/12, 12, 3
2023/8/13, 13, 4
2023/8/14, 18, 6
2023/8/15, 25, 4
2023/8/16, 18, 4
2023/8/17, 19, 7
2023/8/18, 31, 7
2023/8/19, 33, 5
2023/8/20, 25, 8
2023/8/21, 35, 4
2023/8/22, 18, 4
2023/8/23, 16, 3
2023/8/24, 13, 4
2023/8/25, 17, 4
2023/8/26, 16, 4
2023/8/27, 17, 8
2023/8/28, 34, 8
2023/8/29, 35, 12
2023/8/30, 49, 13
2023/8/31, 53, 11
2023/9/1, 47, 11
2023/9/2, 46, 4
2023/9/3, 19, 5
2023/9/4, 24, 8
2023/9/5, 34, 8
2023/9/6, 37, 9
2023/9/7, 43, 6
2023/9/8, 27, 5
2023/9/9, 23, 4
2023/9/10, 17, 8
2023/9/11, 34, 7
2023/9/12, 33, 10
2023/9/13, 44, 10
2023/9/14, 44, 7
2023/9/15, 33, 5
2023/9/16, 23, 7
2023/9/17, 30, 3
2023/9/18, 14, 
2023/9/22, 15, 4
2023/9/23, 17, 3
2023/9/24, 13, 3
2023/9/25, 12, 4
2023/9/26, 19, 4
2023/9/27, 20, 5
2023/9/28, 24, 8
2023/9/29, 34, 6
2023/9/30, 26, 5
2023/2/2, 138, 38
2023/2/3, 112, 35
2023/2/4, 104, 34
2023/2/5, 103, 37
2023/2/6, 109, 42
2023/2/7, 123, 44
2023/2/8, 129, 
2023/2/12, 106, 43
2023/2/13, 123, 40
2023/2/14, 112, 41
2023/2/15, 115, 40
2023/2/16, 115, 42
2023/2/17, 121, 44
2023/2/18, 129, 51
2023/2/19, 146, 46
2023/2/20, 133, 48
2023/2/21, 139, 51
2023/2/22, 148, 46
2023/2/23, 134, 34
2023/2/24, 104, 46
2023/2/25, 134, 35
2023/2/26, 101, 27
2023/2/27, 88, 39
2023/2/28, 117, 48
2023/3/1, 142, 43
2023/3/2, 127, 44
2023/3/3, 130, 49
2023/3/4, 142, 33
2023/3/5, 101, 28
2023/3/6, 90, 32
2023/3/7, 99, 28
2023/3/8, 90, 20
2023/3/9, 71, 29
2023/3/10, 91, 37
2023/3/11, 112, 53
2023/3/12, 151, 49
2023/3/13, 140, 22
2023/3/14, 75, 
2022/10/18, 71, 19
2022/10/19, 67, 13
2022/10/20, 53, 18
2022/10/21, 65, 17
2022/10/22, 64, 17
2022/10/23, 63, 14
2022/10/24, 55, 15
2022/10/25, 60, 23
2022/10/26, 77, 30
2022/10/27, 93, 33
2022/10/28, 100, 27
2022/10/29, 87, 25
2022/10/30, 82, 24
2022/10/31, 79, 21
2022/11/1, 72, 19
2022/11/2, 69, 20
2022/11/3, 71, 20
2022/11/4, 69, 21
2022/11/5, 72, 27
2022/11/6, 81, 37
2022/11/7, 101, 36
2022/11/8, 100, 35
2022/11/9, 97, 36
2022/11/10, 99, 34
2022/11/11, 93, 
2022/4/1, 123, 45
2022/4/2, 126, 38
2022/4/3, 110, 30
2022/4/4, 91, 33
2022/4/5, 96, 37
2022/4/6, 103, 35
2022/4/7, 102, 34
2022/4/8, 99, 32
2022/4/9, 96, 28
2022/4/10, 86, 25
2022/4/11, 81, 28
2022/4/12, 87, 29
2022/4/13, 86, 19
2022/4/14, 62, 14
2022/4/15, 56, 
2022/1/3, 71, 26
2022/1/4, 83, 28
2022/1/5, 87, 30
2022/1/6, 93, 29
2022/1/7, 90, 33
2022/1/8, 101, 26
2022/1/9, 84, 24
2022/1/10, 77, 21
2022/1/11, 72, 23
2022/1/12, 75, 18
2022/1/13, 64, 20
2022/1/14, 70, 28
2022/1/15, 87, 28
2022/1/16, 89, 29
2022/1/17, 88, 27
2022/1/18, 82, 29
2022/1/19, 89, 30
2022/1/20, 92, 22
2022/1/21, 73, 31
2022/1/22, 94, 22
2022/1/23, 74, 28
2022/1/24, 89, 28
2022/1/25, 88, 33
2022/1/26, 94, 38
2022/1/27, 103, 40
2022/1/28, 111, 40
2022/1/29, 114, 32
2022/1/30, 92, 33
2022/1/31, 98, 39
2022/2/1, 112, 51
2022/2/2, 142, 60
2022/2/3, 159, 11
2022/2/4, 48, 9
2022/2/5, 39, 14
2022/2/6, 52, 15
2022/2/7, 57, 44
2022/2/8, 119, 31
2022/2/9, 95, 18
2022/2/10, 64, 22
2022/2/11, 72, 22
2022/2/12, 74, 34
2022/2/13, 101, 
2022/3/31, 124, 43
2021/10/1, 31, 6
2021/10/2, 25, 7
2021/10/3, 30, 11
2021/10/4, 47, 8
2021/10/5, 36, 10
2021/10/6, 43, 7
2021/10/7, 30, 7
2021/10/8, 30, 14
2021/10/9, 53, 18
2021/10/10, 66, 16
2021/10/11, 62, 13
2021/10/12, 55, 13
2021/10/13, 52, 11
2021/10/14, 49, 10
2021/10/15, 45, 8
2021/10/16, 36, 6
2021/10/17, 27, 3
2021/10/18, 13, 4
2021/10/19, 19, 2
2021/10/20, 9, 3
2021/10/21, 12, 8
2021/10/22, 37, 23
2021/10/23, 79, 24
2021/10/24, 79, 17
2021/10/25, 63, 14
2021/10/26, 55, 15
2021/10/27, 58, 15
2021/10/28, 58, 16
2021/10/29, 62, 17
2021/10/30, 63, 25
2021/10/31, 80, 23
2021/11/1, 79, 22
2021/11/2, 75, 21
2021/11/3, 74, 18
2021/11/4, 67, 17
2021/11/5, 63, 18
2021/11/6, 66, 17
2021/11/7, 64, 14
2021/11/8, 56, 12
2021/11/9, 52, 12
2021/11/10, 50, 11
2021/11/11, 47, 13
2021/11/12, 52, 15
2021/11/13, 57, 16
2021/11/14, 61, 13
2021/11/15, 55, 15
2021/11/16, 56, 14
2021/11/17, 57, 18
2021/11/18, 66, 19
2021/11/19, 69, 25
2021/11/20, 82, 21
2021/11/21, 74, 20
2021/11/22, 70, 31
2021/11/23, 96, 39
2021/11/24, 116, 39
2021/11/25, 117, 32
2021/11/26, 98, 25
2021/11/27, 82, 27
2021/11/28, 87, 21
2021/11/29, 73, 24
2021/11/30, 79, 20
2021/12/1, 68, 21
2021/12/2, 71, 13
2021/12/3, 52, 14
2021/12/4, 56, 16
2021/12/5, 59, 14
2021/12/6, 56, 9
2021/12/7, 39, 18
2021/12/8, 66, 14
2021/12/9, 58, 16
2021/12/10, 60, 18
2021/12/11, 64, 17
2021/12/12, 62, 23
2021/12/13, 76, 24
2021/12/14, 79, 19
2021/12/15, 63, 20
2021/12/16, 69, 19
2021/12/17, 67, 22
2021/12/18, 75, 21
2021/12/19, 70, 17
2021/12/20, 64, 17
2021/12/21, 64, 17
2021/12/22, 62, 18
2021/12/23, 65, 17
2021/12/24, 63, 18
2021/12/25, 67, 24
2021/12/26, 79, 29
2021/12/27, 90, 25
2021/12/28, 81, 
2021/12/30, 36, 18
2021/12/31, 59, 26
2022/1/1, 84, 25
2022/1/2, 80, 21
2021/7/1, 9, 4
2021/7/2, 15, 3
2021/7/3, 13, 3
2021/7/4, 15, 3
2021/7/5, 12, 5
2021/7/6, 22, 8
2021/7/7, 31, 4
2021/7/8, 17, 8
2021/7/9, 32, 7
2021/7/10, 30, 4
2021/7/11, 18, 4
2021/7/12, 18, 3
2021/7/13, 16, 5
2021/7/14, 23, 
2021/7/20, 37, 5
2021/7/21, 24, 3
2021/7/22, 13, 5
2021/7/23, 24, 6
2021/7/24, 25, 4
2021/7/25, 17, 5
2021/7/26, 25, 6
2021/7/27, 24, 3
2021/7/28, 12, 3
2021/7/29, 13, 3
2021/7/30, 13, 3
2021/7/31, 14, 4
2021/8/1, 17, 6
2021/8/2, 26, 6
2021/8/3, 26, 5
2021/8/4, 21, 5
2021/8/5, 22, 8
2021/8/6, 36, 10
2021/8/7, 40, 7
2021/8/8, 33, 7
2021/8/9, 30, 9
2021/8/10, 37, 7
2021/8/11, 33, 6
2021/8/12, 26, 6
2021/8/13, 26, 5
2021/8/14, 21, 3
2021/8/15, 14, 6
2021/8/16, 25, 6
2021/8/17, 29, 5
2021/8/18, 24, 4
2021/8/19, 20, 6
2021/8/20, 26, 6
2021/8/21, 29, 6
2021/8/22, 27, 4
2021/8/23, 18, 5
2021/8/24, 23, 6
2021/8/25, 25, 4
2021/8/26, 16, 5
2021/8/27, 24, 8
2021/8/28, 35, 4
2021/8/29, 17, 2
2021/8/30, 10, 4
2021/8/31, 18, 5
2021/9/1, 20, 5
2021/9/2, 22, 3
2021/9/3, 16, 5
2021/9/4, 24, 7
2021/9/5, 33, 7
2021/9/6, 30, 5
2021/9/7, 22, 4
2021/9/8, 17, 4
2021/9/9, 16, 6
2021/9/10, 24, 6
2021/9/11, 25, 5
2021/9/12, 21, 4
2021/9/13, 19, 7
2021/9/14, 30, 5
2021/9/15, 24, 5
2021/9/16, 22, 6
2021/9/17, 27, 8
2021/9/18, 33, 9
2021/9/19, 38, 5
2021/9/20, 23, 3
2021/9/21, 15, 3
2021/9/22, 13, 5
2021/9/23, 23, 8
2021/9/24, 33, 10
2021/9/25, 42, 7
2021/9/26, 32, 6
2021/9/27, 26, 4
2021/9/28, 19, 5
2021/9/29, 24, 5
2021/9/30, 23, 8
2021/4/1, 103, 16
2021/4/2, 60, 23
2021/4/3, 79, 32
2021/4/4, 99, 48
2021/4/5, 138, 56
2021/4/6, 155, 46
2021/4/7, 131, 33
2021/4/8, 98, 25
2021/4/9, 80, 19
2021/4/10, 66, 25
2021/4/11, 81, 35
2021/4/12, 106, 41
2021/4/13, 121, 34
2021/4/14, 105, 41
2021/4/15, 122, 10
2021/4/16, 45, 12
2021/4/17, 51, 7
2021/4/18, 32, 6
2021/4/19, 27, 10
2021/4/20, 41, 12
2021/4/21, 51, 4
2021/4/22, 16, 3
2021/4/23, 15, 6
2021/4/24, 24, 8
2021/4/25, 33, 18
2021/4/26, 64, 29
2021/4/27, 90, 27
2021/4/28, 85, 22
2021/4/29, 72, 12
2021/4/30, 49, 17
2021/5/1, 63, 9
2021/5/2, 42, 11
2021/5/3, 50, 9
2021/5/4, 39, 6
2021/5/5, 27, 5
2021/5/6, 20, 6
2021/5/7, 27, 6
2021/5/8, 27, 5
2021/5/9, 21, 7
2021/5/10, 30, 4
2021/5/11, 19, 4
2021/5/12, 19, 3
2021/5/13, 11, 4
2021/5/14, 16, 5
2021/5/15, 24, 7
2021/5/16, 30, 8
2021/5/17, 34, 8
2021/5/18, 34, 6
2021/5/19, 26, 4
2021/5/20, 16, 2
2021/5/21, 11, 4
2021/5/22, 16, 4
2021/5/23, 19, 6
