date, pm25
2023/12/2, 170
2023/12/3, 185
2023/11/1, 168
2023/11/2, 193
2023/11/3, 134
2023/11/4, 121
2023/11/5, 135
2023/11/6, 171
2023/11/7, 192
2023/11/8, 190
2023/11/9, 167
2023/11/10, 135
2023/11/11, 149
2023/11/12, 158
2023/11/13, 162
2023/11/14, 152
2023/11/15, 162
2023/11/16, 180
2023/11/17, 164
2023/11/18, 178
2023/11/19, 244
2023/11/20, 206
2023/11/21, 189
2023/11/22, 190
2023/11/23, 164
2023/11/24, 179
2023/11/25, 186
2023/11/26, 166
2023/11/27, 206
2023/11/28, 197
2023/11/29, 190
2023/10/1, 157
2023/10/2, 106
2023/10/3, 94
2023/10/4, 87
2023/10/5, 99
2023/10/6, 96
2023/10/7, 89
2023/10/8, 89
2023/10/9, 92
2023/10/10, 77
2023/10/11, 82
2023/10/12, 90
2023/10/13, 90
2023/10/14, 81
2023/10/15, 87
2023/10/16, 93
2023/10/17, 77
2023/10/18, 114
2023/10/19, 118
2023/10/20, 95
2023/10/21, 111
2023/10/22, 89
2023/10/23, 112
2023/10/24, 115
2023/10/25, 105
2023/10/26, 93
2023/10/27, 100
2023/10/28, 109
2023/10/29, 124
2023/10/30, 119
2023/10/31, 155
2023/7/1, 58
2023/7/2, 68
2023/7/3, 77
2023/7/4, 86
2023/7/5, 79
2023/7/6, 91
2023/7/7, 118
2023/7/8, 138
2023/7/9, 134
2023/7/10, 117
2023/7/11, 103
2023/7/12, 96
2023/7/13, 98
2023/7/14, 89
2023/7/15, 88
2023/7/16, 84
2023/7/17, 88
2023/7/18, 84
2023/7/19, 88
2023/7/20, 95
2023/7/21, 93
2023/7/22, 92
2023/7/23, 68
2023/7/24, 59
2023/7/25, 66
2023/7/26, 64
2023/7/27, 60
2023/7/28, 59
2023/7/29, 53
2023/7/30, 62
2023/7/31, 74
2023/8/1, 82
2023/8/2, 79
2023/8/3, 83
2023/8/4, 85
2023/8/5, 81
2023/8/6, 76
2023/8/7, 75
2023/8/8, 85
2023/8/9, 76
2023/8/10, 73
2023/8/11, 72
2023/8/12, 70
2023/8/13, 73
2023/8/14, 76
2023/8/15, 75
2023/8/16, 76
2023/8/17, 64
2023/8/18, 67
2023/8/19, 68
2023/8/20, 64
2023/8/21, 63
2023/8/22, 61
2023/8/23, 63
2023/8/24, 65
2023/8/25, 65
2023/8/26, 69
2023/8/27, 70
2023/8/28, 71
2023/8/29, 74
2023/8/30, 70
2023/8/31, 67
2023/9/1, 71
2023/9/2, 72
2023/9/3, 68
2023/9/4, 70
2023/9/5, 76
2023/9/6, 80
2023/9/7, 70
2023/9/8, 70
2023/9/9, 59
2023/9/10, 55
2023/9/11, 56
2023/9/12, 58
2023/9/13, 60
2023/9/14, 66
2023/9/15, 66
2023/9/16, 65
2023/9/17, 63
2023/9/18, 65
2023/9/26, 183
2023/9/27, 173
2023/9/28, 152
2023/9/29, 118
2023/9/30, 144
2023/4/1, 62
2023/4/2, 68
2023/4/3, 69
2023/4/4, 48
2023/4/5, 60
2023/4/6, 68
2023/4/7, 98
2023/4/8, 92
2023/4/9, 69
2023/4/10, 68
2023/4/11, 82
2023/4/12, 85
2023/4/13, 35
2023/4/14, 71
2023/4/15, 79
2023/4/16, 85
2023/4/17, 64
2023/4/18, 66
2023/4/19, 83
2023/4/20, 72
2023/4/21, 64
2023/4/22, 69
2023/4/23, 78
2023/4/24, 82
2023/4/25, 81
2023/4/26, 62
2023/4/27, 62
2023/4/28, 61
2023/4/29, 86
2023/4/30, 74
2023/5/1, 62
2023/5/2, 77
2023/5/3, 86
2023/5/4, 98
2023/5/5, 78
2023/5/6, 76
2023/5/7, 89
2023/5/8, 82
2023/5/9, 89
2023/5/10, 88
2023/5/11, 86
2023/5/12, 62
2023/5/13, 62
2023/5/14, 61
2023/5/15, 63
2023/5/16, 65
2023/5/17, 59
2023/5/18, 62
2023/5/19, 61
2023/5/20, 61
2023/5/21, 57
2023/5/22, 62
2023/5/23, 57
2023/5/24, 65
2023/5/25, 64
2023/5/26, 64
2023/5/27, 63
2023/5/28, 54
2023/5/29, 62
2023/5/30, 48
2023/5/31, 47
2023/6/1, 55
2023/6/2, 63
2023/6/3, 70
2023/6/4, 80
2023/6/5, 62
2023/6/6, 60
2023/6/7, 64
2023/6/8, 65
2023/6/9, 60
2023/6/10, 60
2023/6/11, 50
2023/6/12, 72
2023/6/13, 75
2023/6/14, 73
2023/6/15, 76
2023/6/16, 84
2023/6/17, 128
2023/6/18, 116
2023/6/19, 91
2023/6/20, 92
2023/6/21, 84
2023/6/22, 86
2023/6/23, 80
2023/6/24, 81
2023/6/25, 82
2023/6/26, 78
2023/6/27, 77
2023/6/28, 73
2023/6/29, 63
2023/6/30, 61
2023/1/2, 176
2023/1/3, 147
2023/1/4, 134
2023/1/5, 141
2023/1/6, 139
2023/1/7, 149
2023/1/8, 153
2023/1/9, 195
2023/1/10, 172
2023/1/11, 130
2023/1/12, 233
2023/1/13, 179
2023/1/14, 155
2023/1/15, 152
2023/1/16, 172
2023/1/17, 201
2023/1/18, 248
2023/1/19, 163
2023/1/20, 135
2023/1/21, 132
2023/1/22, 141
2023/1/23, 130
2023/1/26, 120
2023/1/27, 129
2023/1/28, 130
2023/1/29, 158
2023/1/30, 119
2023/2/1, 169
2023/2/2, 204
2023/2/3, 231
2023/2/4, 171
2023/2/5, 112
2023/2/6, 118
2023/2/7, 146
2023/2/8, 111
2023/2/9, 95
2023/2/10, 76
2023/2/11, 136
2023/2/12, 120
2023/2/13, 124
2023/2/14, 124
2023/2/15, 142
2023/2/16, 100
2023/2/17, 110
2023/2/18, 147
2023/2/19, 73
2023/2/20, 98
2023/2/21, 111
2023/2/22, 79
2023/2/23, 100
2023/2/24, 101
2023/2/25, 104
2023/2/26, 79
2023/2/27, 83
2023/2/28, 86
2023/3/1, 137
2023/3/2, 139
2023/3/3, 127
2023/3/4, 123
2023/3/5, 144
2023/3/6, 134
2023/3/7, 149
2023/3/8, 139
2023/3/9, 150
2023/3/10, 183
2023/3/11, 96
2023/3/12, 86
2023/3/13, 98
2023/3/14, 82
2023/3/15, 76
2023/3/16, 74
2023/3/17, 90
2023/3/18, 106
2023/3/19, 108
2023/3/20, 89
2023/3/21, 99
2023/3/22, 54
2023/3/23, 52
2023/3/24, 109
2023/3/25, 90
2023/3/26, 106
2023/3/27, 82
2023/3/28, 69
2023/3/29, 63
2023/3/30, 63
2023/3/31, 78
2022/10/1, 55
2022/10/2, 34
2022/10/3, 45
2022/10/4, 53
2022/10/5, 68
2022/10/6, 64
2022/10/7, 82
2022/10/8, 130
2022/10/9, 142
2022/10/10, 124
2022/10/11, 123
2022/10/12, 85
2022/10/13, 91
2022/10/18, 66
2022/10/19, 80
2022/10/20, 84
2022/10/21, 142
2022/10/22, 183
2022/10/23, 142
2022/10/24, 109
2022/10/25, 85
2022/10/26, 89
2022/10/27, 88
2022/10/28, 104
2022/10/29, 118
2022/10/30, 111
2022/10/31, 89
2022/11/1, 102
2022/11/2, 95
2022/11/3, 99
2022/11/4, 99
2022/11/5, 137
2022/11/6, 106
2022/11/7, 105
2022/11/8, 135
2022/11/9, 153
2022/11/10, 142
2022/11/11, 167
2022/11/12, 152
2022/11/13, 94
2022/11/14, 83
2022/11/15, 163
2022/11/16, 160
2022/11/17, 163
2022/11/18, 122
2022/11/19, 120
2022/11/20, 147
2022/11/21, 146
2022/11/22, 146
2022/11/23, 166
2022/11/24, 150
2022/11/25, 126
2022/11/26, 137
2022/11/27, 114
2022/11/28, 171
2022/11/29, 206
2022/11/30, 170
2022/12/1, 176
2022/12/2, 204
2022/12/3, 146
2022/12/4, 172
2022/12/5, 162
2022/12/6, 201
2022/12/7, 210
2022/12/8, 187
2022/12/9, 158
2022/12/10, 173
2022/12/11, 160
2022/12/12, 160
2022/12/13, 163
2022/12/14, 160
2022/12/15, 172
2022/12/16, 196
2022/12/17, 166
2022/12/18, 193
2022/12/19, 174
2022/12/20, 175
2022/12/21, 170
2022/12/22, 161
2022/12/23, 160
2022/12/24, 170
2022/12/25, 181
2022/12/26, 178
2022/12/27, 169
2022/12/28, 194
2022/12/29, 101
2022/12/30, 136
2022/12/31, 136
2023/1/1, 146
2022/7/1, 77
2022/7/2, 82
2022/7/3, 92
2022/7/4, 87
2022/7/5, 95
2022/7/6, 105
2022/7/7, 67
2022/7/8, 74
2022/7/9, 53
2022/7/10, 58
2022/7/11, 34
