date, pm25, pm10
2023/7/1, 6, 4
2023/7/2, 17, 
2023/6/26, 12, 5
2023/6/27, 11, 4
2023/6/28, 13, 4
2023/6/29, 12, 4
2023/6/30, 12, 1
2022/4/1, 113, 43
2022/4/2, 103, 43
2022/4/3, 102, 53
2022/4/4, 108, 50
2022/4/5, 97, 47
2022/4/6, 104, 45
2022/4/7, 103, 37
2022/4/8, 87, 37
2022/4/9, 86, 37
2022/4/10, 79, 42
2022/4/11, 75, 40
2022/4/12, 74, 44
2022/4/13, 79, 47
2022/4/14, 67, 53
2022/4/15, 69, 57
2022/4/16, 95, 67
2022/4/17, 111, 72
2022/4/18, 125, 61
2022/4/19, 111, 52
2022/4/20, 78, 37
2022/4/21, 54, 59
2022/4/22, 87, 65
2022/4/23, 83, 63
2022/4/24, 95, 73
2022/4/25, 134, 64
2022/4/26, 103, 64
2022/4/27, 122, 60
2022/4/28, 116, 52
2022/4/29, 91, 49
2022/4/30, 73, 28
2022/5/1, 53, 25
2022/5/2, 54, 20
2022/5/3, 47, 24
2022/5/4, 51, 23
2022/5/5, 55, 19
2022/5/6, 49, 18
2022/5/7, 47, 16
2022/5/8, 37, 17
2022/5/9, 40, 18
2022/5/10, 43, 15
2022/5/11, 42, 14
2022/5/12, 37, 13
2022/5/13, 40, 21
2022/5/14, 55, 21
2022/5/15, 51, 26
2022/5/16, 61, 24
2022/5/17, 51, 48
2022/5/18, 62, 54
2022/5/19, 74, 40
2022/5/20, 63, 32
2022/5/21, 57, 15
2022/5/22, 42, 
2022/5/25, 34, 20
2022/5/26, 42, 31
2022/5/27, 70, 30
2022/5/28, 67, 22
2022/5/29, 61, 27
2022/5/30, 64, 31
2022/5/31, 65, 
2022/1/3, 165, 65
2022/1/4, 160, 57
2022/1/5, 153, 52
2022/1/6, 137, 57
2022/1/7, 143, 41
2022/1/8, 117, 34
2022/1/9, 98, 39
2022/1/10, 112, 40
2022/1/11, 107, 46
2022/1/12, 126, 54
2022/1/13, 143, 42
2022/1/14, 122, 34
2022/1/15, 101, 
2022/1/20, 170, 51
2022/1/21, 131, 53
2022/1/22, 144, 36
2022/1/23, 101, 29
2022/1/24, 92, 40
2022/1/25, 113, 53
2022/1/26, 145, 50
2022/1/27, 143, 64
2022/1/28, 161, 54
2022/1/29, 139, 67
2022/1/30, 166, 60
2022/1/31, 152, 58
2022/2/1, 148, 67
